"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4438","Upload modified excel file","","2026-07-28","passed","2026-07-28","Upload the updated excel data file","uploadDownloadTest.spec.js","",""
"","6667","dialog handling test","","2026-07-28","passed","2026-07-28","Automation practice tests","automationPractice.spec.js","",""
"","3665","Registration test -- drive data from external json file","","2026-07-28","passed","2026-07-28","Angular Practice Suite","angularPractice.spec.js","",""
"","3756","move away focus, alert visible","","2026-07-28","passed","2026-07-28","Angular Practice Suite","angularPractice.spec.js","",""
"","5698","Web Table test","","2026-07-28","passed","2026-07-28","Automation practice tests","automationPractice.spec.js","",""
"","7880","frame handle test","","2026-07-28","passed","2026-07-28","Automation practice tests","automationPractice.spec.js","",""
"","3468","Registration for Joe","","2026-07-28","passed","2026-07-28","Angular Practice Suite","angularPractice.spec.js","",""
"","4042","Registration for Emily","","2026-07-28","passed","2026-07-28","Angular Practice Suite","angularPractice.spec.js","",""
"","6861","mouse hover test","","2026-07-28","passed","2026-07-28","Automation practice tests","automationPractice.spec.js","",""
"","3942","Block by alert when login with incorrect username","","2026-07-28","passed","2026-07-28","","loginPagePractice.spec.js","",""
"","5969","visual comparison test","","2026-07-28","passed","2026-07-28","Automation practice tests","automationPractice.spec.js","",""
"","3632","Submit form with custom fixture","","2026-07-28","passed","2026-07-28","Angular Practice Suite","angularPractice.spec.js","",""
"","3669","registration test--driver data from JS object","","2026-07-28","passed","2026-07-28","Angular Practice Suite","angularPractice.spec.js","",""
"","7470","window handle test","","2026-07-28","passed","2026-07-28","Automation practice tests","automationPractice.spec.js","",""
"","5045","Upload excel file after added new row data","","2026-07-28","passed","2026-07-28","Upload the updated excel data file","uploadDownloadTest.spec.js","",""
"","5402","text blinking test","","2026-07-28","passed","2026-07-28","Automation practice tests","automationPractice.spec.js","",""
"","10804","Child window handle test","","2026-07-28","passed","2026-07-28","","loginPagePractice.spec.js","",""
"","8770","@Smoke User can login successfully","","2026-07-28","passed","2026-07-28","","loginPagePractice.spec.js","",""
